idx,seq,group,emerg,weight,size(ft)
1,1,0,0,9.94,20
2,2,0,0,7.21,20
3,3,0,0,11.01,20
4,4,0,0,22.86,20
5,5,0,0,5.38,20
6,6,0,0,22.22,20
7,7,0,0,20.74,20
8,8,0,0,17.08,20
9,9,0,0,8.55,20
10,10,0,0,22.22,20
11,11,0,0,13.27,20
12,12,0,0,16.8,20
13,13,0,0,14.29,20
14,14,0,0,11.71,20
15,15,0,0,10.53,20
16,16,0,0,8.69,20
17,17,0,0,6.31,20
18,18,0,0,6.87,20
19,19,0,0,13.08,20
20,20,0,0,16.85,20
21,21,0,0,20.58,20
22,22,0,0,16.25,20
23,23,0,0,9.72,20
24,24,0,0,20.13,20
25,25,0,0,17.66,20
26,26,0,0,21.97,20
27,27,0,0,5.75,20
28,28,0,0,21.95,20
29,29,0,0,5.31,20
30,30,0,0,20.33,20
31,31,0,0,22.8,20
32,32,0,0,14.86,20
33,33,0,0,18.7,20
34,34,0,0,7.38,20
35,35,0,0,13.06,20
36,36,0,0,21.18,20
37,37,0,0,21.14,20
38,38,0,0,19.13,20
39,39,0,0,22.93,20
40,40,0,0,18.62,20
41,41,0,0,20.61,20
42,42,0,0,20.28,20
43,43,0,0,22.02,20
44,44,0,0,6.07,20
45,45,0,0,17.15,20
46,46,0,0,6.85,20
47,47,0,0,11.79,20
48,48,0,0,15.46,20
49,49,0,0,18.35,20
50,50,0,0,7.7,20
