idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,10.28,20
2,2,0,0,6.58,20
3,3,0,0,10.76,20
4,4,0,0,13.6,20
5,5,0,0,21.81,20
6,6,0,0,8.66,20
7,7,0,0,7.75,20
8,8,0,0,14.21,20
9,9,0,0,18.02,20
10,10,0,0,18.64,20
11,11,0,0,23.43,20
12,12,0,0,10.56,20
13,13,0,0,9.42,20
14,14,0,0,5.54,20
15,15,0,0,18.07,20
16,16,0,0,17.68,20
17,17,0,0,7.55,20
18,18,0,0,10.24,20
19,19,0,0,18.03,20
20,20,0,0,6.62,20
21,21,0,0,17.46,20
22,22,0,0,21.14,20
23,23,0,0,15.46,20
24,24,0,0,19.5,20
25,25,0,0,9.62,20
26,26,0,0,15.07,20
27,27,0,0,11.1,20
28,28,0,0,16.41,20
29,29,0,0,19.14,20
30,30,0,0,19.97,20
31,31,0,0,10.28,20
32,32,0,0,9.46,20
33,33,0,0,21.52,20
34,34,0,0,18.18,20
35,35,0,0,6.73,20
36,36,0,0,9.26,20
37,37,0,0,12.83,20
38,38,0,0,23.18,20
39,39,0,0,22.42,20
40,40,0,0,18.07,20
41,41,0,0,15.22,20
42,42,0,0,22.63,20
43,43,0,0,17.26,20
44,44,0,0,13.55,20
45,45,0,0,15.88,20
46,46,0,0,16.48,20
47,47,0,0,14.16,20
48,48,0,0,9.54,20
49,49,0,0,17.41,20
50,50,0,0,22.82,20
