idx,seq,priority,weight,size(ft)
6,1,1.4000000000000001,12.44,20
7,2,2.5,11.11,20
8,3,1.1,9.84,20
9,4,1.3,22.48,20
10,5,2.0,19.16,20
11,6,1.7000000000000002,4.76,20
12,7,2.4000000000000004,15.86,20
13,8,0.5,16.02,20
14,9,0.30000000000000004,3.35,20
15,10,0.8,16.85,20
16,11,0.0,11.08,20
17,12,1.6,20.51,20
18,13,0.4,7.16,20
19,14,0.1,13.97,20
20,15,1.2000000000000002,21.25,20
21,16,0.0,12.96,20
22,17,2.3000000000000003,20.94,20
23,18,0.0,3.41,20
24,19,1.0,16.54,20
25,20,0.7000000000000001,20.51,20
