idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,16.04,3,316.04,1,0,20
2,3,0,0,22.89,0,22.89,2,0,20
3,3,0,1,9.97,1,109.97,3,0,20
4,3,0,2,15.62,2,215.62,4,0,20
5,2,0,0,19.79,0,19.79,5,0,20
6,4,0,1,16.39,3,316.39,6,0,20
7,4,0,2,19.23,3,319.23,7,0,20
8,3,0,3,22.42,2,222.42000000000002,8,0,20
9,6,0,0,7.28,2,207.28,9,0,20
10,2,0,1,6.55,1,106.55,10,0,20
11,2,0,2,10.3,1,110.3,11,0,20
12,2,0,3,13.51,1,113.51,12,0,20
13,1,0,0,14.04,0,14.04,13,0,20
14,1,0,1,23.31,0,23.31,14,0,20
15,5,0,0,23.08,3,323.08,15,0,20
