idx,seq,group,emerg,weight,size(ft)
11,1,0,0,14.56,20
12,2,0,0,22.83,20
13,3,0,0,18.4,20
14,4,0,0,21.36,20
15,5,0,0,19.94,20
16,6,0,0,12.94,20
17,7,0,0,23.05,20
18,8,0,0,21.65,20
19,9,0,0,18.49,20
20,10,0,0,16.65,20
21,11,0,0,16.67,20
22,12,0,0,8.88,20
23,13,0,0,21.14,20
24,14,0,0,5.63,20
25,15,0,0,12.01,20
26,16,0,0,22.36,20
27,17,0,0,19.26,20
28,18,0,0,7.67,20
29,19,0,0,10.35,20
30,20,0,0,20.38,20
31,21,0,0,10.16,20
32,22,0,0,10.11,20
33,23,0,0,15.85,20
34,24,0,0,22.58,20
35,25,0,0,11.86,20
36,26,0,0,8.1,20
37,27,0,0,14.71,20
38,28,0,0,19.67,20
39,29,0,0,17.81,20
40,30,0,0,21.62,20
41,31,0,0,15.16,20
42,32,0,0,18.34,20
43,33,0,0,6.18,20
44,34,0,0,9.19,20
45,35,0,0,16.7,20
46,36,0,0,6.05,20
47,37,0,0,13.23,20
48,38,0,0,16.53,20
49,39,0,0,14.24,20
50,40,0,0,19.27,20
