idx,seq,group,emerg,weight,size(ft)
1,1,0,0,10.0,20
2,2,0,0,14.54,20
3,3,0,0,16.03,20
4,4,0,0,21.21,20
5,5,0,0,15.73,20
6,6,0,0,12.32,20
7,7,0,0,7.09,20
8,8,0,0,18.5,20
9,9,0,0,17.43,20
10,10,0,0,22.61,20
11,11,0,0,13.97,20
12,12,0,0,6.7,20
13,13,0,0,15.09,20
14,14,0,0,13.02,20
15,15,0,0,21.03,20
16,16,0,0,14.85,20
17,17,0,0,18.33,20
18,18,0,0,22.29,20
19,19,0,0,16.18,20
20,20,0,0,16.13,20
21,21,0,0,14.27,20
22,22,0,0,8.6,20
23,23,0,0,15.84,20
24,24,0,0,18.46,20
25,25,0,0,19.59,20
