idx,seq,group,emerg,weight,size(ft)
11,1,0,0,6.83,20
12,2,0,0,21.56,20
13,3,0,0,13.08,20
14,4,0,0,16.33,20
15,5,0,0,17.07,20
16,6,0,0,7.81,20
17,7,0,0,16.19,20
18,8,0,0,7.91,20
19,9,0,0,12.03,20
20,10,0,0,17.91,20
21,11,0,0,13.83,20
22,12,0,0,22.1,20
23,13,0,0,13.82,20
24,14,0,0,9.3,20
25,15,0,0,13.3,20
26,16,0,0,7.45,20
27,17,0,0,22.01,20
28,18,0,0,8.65,20
29,19,0,0,12.91,20
30,20,0,0,22.26,20
31,21,0,0,14.43,20
32,22,0,0,22.79,20
33,23,0,0,19.59,20
34,24,0,0,20.59,20
35,25,0,0,13.18,20
36,26,0,0,17.27,20
37,27,0,0,9.33,20
38,28,0,0,22.36,20
39,29,0,0,14.74,20
40,30,0,0,22.49,20
