idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,2,0,0,7.04,0,7.04,1,0,1.0,20
2,4,0,0,15.42,0,15.42,2,0,1.0,20
3,1,0,0,6.0,0,6.0,3,0,1.0,20
4,4,0,1,8.81,0,8.81,4,0,1.0,20
5,6,0,0,18.8,0,18.8,5,0,1.0,20
6,8,0,0,23.2,0,23.2,6,0,1.0,20
7,9,0,0,22.31,0,22.31,7,0,0,20
8,2,0,1,5.55,0,5.55,8,0,1.0,20
9,6,0,1,17.06,0,17.06,9,0,1.0,20
10,4,0,2,15.22,0,15.22,10,0,1.0,20
11,7,0,0,20.66,0,20.66,11,0,1.0,20
12,1,0,1,7.4,0,7.4,12,0,1.0,20
13,8,0,1,23.68,0,23.68,13,0,1.0,20
14,1,0,2,5.83,0,5.83,14,0,1.0,20
15,2,0,2,8.93,0,8.93,15,0,1.0,20
16,9,0,1,23.62,0,23.62,16,0,0,20
17,5,0,0,12.74,0,12.74,17,0,1.0,20
18,7,0,1,19.92,0,19.92,18,0,1.0,20
19,9,0,2,23.67,0,23.67,19,0,0,20
20,6,0,2,18.97,0,18.97,20,0,1.0,20
21,6,0,3,18.15,0,18.15,21,0,1.0,20
22,4,0,3,14.71,0,14.71,22,0,1.0,20
23,6,0,4,18.36,0,18.36,23,0,1.0,20
24,6,0,5,21.17,0,21.17,24,0,1.0,20
25,4,0,4,16.73,0,16.73,25,0,1.0,20
26,3,0,0,8.28,0,8.28,26,0,1.0,20
27,3,0,1,8.97,0,8.97,27,0,1.0,20
28,5,0,1,13.23,0,13.23,28,0,1.0,20
29,3,0,2,8.66,0,8.66,29,0,1.0,20
30,7,0,2,21.15,0,21.15,30,0,1.0,20
31,7,0,3,19.85,0,19.85,31,0,1.0,20
32,1,0,3,5.44,0,5.44,32,0,1.0,20
33,7,0,4,19.7,0,19.7,33,0,1.0,20
34,8,0,2,22.11,0,22.11,34,0,1.0,20
35,1,0,4,6.83,0,6.83,35,0,1.0,20
36,2,0,3,8.7,0,8.7,36,0,1.0,20
37,2,0,4,9.42,0,9.42,37,0,1.0,20
38,3,0,3,11.81,0,11.81,38,0,1.0,20
39,8,0,3,19.53,0,19.53,39,0,1.0,20
40,5,0,2,15.84,0,15.84,40,0,1.0,20
41,3,0,4,11.78,0,11.78,41,0,1.0,20
42,5,0,3,15.79,0,15.79,42,0,1.0,20
43,8,0,4,21.06,0,21.06,43,0,1.0,20
44,7,0,5,20.74,0,20.74,44,0,1.0,20
45,4,0,5,15.67,0,15.67,45,0,1.0,20
46,2,0,5,11.94,0,11.94,46,0,1.0,20
47,5,0,4,18.56,0,18.56,47,0,1.0,20
48,10,0,0,23.82,0,23.82,48,0,0,20
49,3,0,5,11.39,0,11.39,49,0,1.0,20
50,5,0,5,14.99,0,14.99,50,0,1.0,20
