idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,21.4,1,0,0,20
2,4,0,0,9.09,2,0,0,20
3,1,0,1,22.31,3,0,0,20
4,5,0,0,15.89,4,0,0,20
5,1,0,2,22.68,5,0,0,20
6,3,0,0,5.05,6,0,0,20
7,4,0,1,12.85,7,0,0,20
8,4,0,2,14.4,8,0,0,20
9,5,0,1,17.29,9,0,0,20
10,4,0,3,16.7,10,0,0,20
11,5,0,2,20.26,11,0,0,20
12,6,0,0,6.87,12,0,0,20
13,4,0,4,20.72,13,0,0,20
14,1,0,3,23.65,14,0,0,20
15,6,0,1,7.52,15,0,0,20
16,5,0,3,20.59,16,0,0,20
17,3,0,1,6.89,17,0,0,20
18,2,0,0,5.43,18,0,0,20
19,3,0,2,12.97,19,0,0,20
20,2,0,1,17.26,20,0,0,20
