idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,4,0,0,18.81,0,18.81,1,0,1.0,20
2,3,0,0,10.4,0,10.4,2,0,0,20
3,4,0,1,14.83,0,14.83,3,0,1.0,20
4,3,0,1,10.93,0,10.93,4,0,0,20
5,3,0,2,14.54,0,14.54,5,0,0,20
6,1,0,0,8.01,0,8.01,6,0,1.0,20
7,4,0,2,21.74,0,21.74,7,0,1.0,20
8,2,0,0,7.42,0,7.42,8,0,0,20
9,3,0,3,16.64,0,16.64,9,0,0,20
10,5,0,0,16.24,0,16.24,10,0,0,20
11,2,0,1,9.89,0,9.89,11,0,0,20
12,4,0,3,12.78,0,12.78,12,0,1.0,20
13,2,0,2,12.06,0,12.06,13,0,0,20
14,1,0,1,7.03,0,7.03,14,0,1.0000000000000002,20
15,1,0,2,9.04,0,9.04,15,0,1.0,20
16,5,0,1,22.31,0,22.31,16,0,0,20
17,6,0,0,14.72,0,14.72,17,0,0,20
18,3,0,4,18.64,0,18.64,18,0,0,20
19,1,0,3,7.64,0,7.64,19,0,1.0,20
20,2,0,3,13.09,0,13.09,20,0,0,20
