idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,6,0,0,13.04,0,13.04,1,0,0,20
2,2,0,0,11.62,0,11.62,2,0,0,20
3,2,0,1,12.41,0,12.41,3,0,0,20
4,6,0,1,21.4,0,21.4,4,0,0,20
5,3,0,0,10.48,0,10.48,5,0,0,20
6,4,0,0,7.96,0,7.96,6,0,0,20
7,2,0,2,19.83,0,19.83,7,0,0,20
8,3,0,1,11.5,0,11.5,8,0,0,20
9,4,0,1,11.15,0,11.15,9,0,0,20
10,5,0,0,6.45,0,6.45,10,0,0,20
11,3,0,2,14.95,0,14.95,11,0,0,20
12,4,0,2,11.42,0,11.42,12,0,0,20
13,4,0,3,14.16,0,14.16,13,0,0,20
14,3,0,3,15.25,0,15.25,14,0,0,20
15,1,0,0,10.5,0,10.5,15,0,0,20
16,6,0,2,21.43,0,21.43,16,0,0,20
17,5,0,1,8.36,0,8.36,17,0,0,20
18,1,0,1,11.81,0,11.81,18,0,0,20
19,2,0,3,20.43,0,20.43,19,0,0,20
20,1,0,2,16.92,0,16.92,20,0,0,20
21,1,0,3,20.18,0,20.18,21,0,0,20
22,5,0,2,9.99,0,9.99,22,0,1.0,20
23,5,0,3,8.58,0,8.58,23,0,1.0,20
24,1,0,4,20.36,0,20.36,24,0,0,20
25,3,0,4,18.47,0,18.47,25,0,0,20
