idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,8,0,0,21.8,0,21.8,1,0,0,20
2,3,0,0,13.31,0,13.31,2,0,1.0,20
3,6,0,0,18.93,0,18.93,3,0,1.0,20
4,3,0,1,11.76,0,11.76,4,0,1.0,20
5,2,0,0,7.43,0,7.43,5,0,1.0,20
6,3,0,2,13.41,0,13.41,6,0,1.0,20
7,7,0,0,22.9,0,22.9,7,0,1.0,20
8,5,0,0,11.65,0,11.65,8,0,1.0,20
9,2,0,1,7.93,0,7.93,9,0,1.0,20
10,2,0,2,11.13,0,11.13,10,0,1.0,20
11,3,0,3,13.2,0,13.2,11,0,1.0,20
12,5,0,1,17.71,0,17.71,12,0,1.0,20
13,5,0,2,15.41,0,15.41,13,0,1.0,20
14,2,0,3,9.93,0,9.93,14,0,1.0,20
15,2,0,4,11.53,0,11.53,15,0,1.0,20
16,3,0,4,12.62,0,12.62,16,0,1.0,20
17,5,0,3,18.05,0,18.05,17,0,1.0,20
18,1,0,0,7.26,0,7.26,18,0,1.0,20
19,5,0,4,16.98,0,16.98,19,0,1.0,20
20,4,0,0,15.22,0,15.22,20,0,1.0,20
21,6,0,1,19.38,0,19.38,21,0,1.0,20
22,5,0,5,23.43,0,23.43,22,0,1.0,20
23,4,0,1,14.67,0,14.67,23,0,1.0,20
24,6,0,2,20.91,0,20.91,24,0,1.0,20
25,3,0,5,12.69,0,12.69,25,0,1.0,20
26,6,0,3,18.82,0,18.82,26,0,1.0,20
27,7,0,1,21.22,0,21.22,27,0,1.0,20
28,4,0,2,14.59,0,14.59,28,0,1.0,20
29,1,0,1,5.25,0,5.25,29,0,1.0,20
30,6,0,4,18.82,0,18.82,30,0,1.0,20
31,1,0,2,9.69,0,9.69,31,0,1.0,20
32,4,0,3,14.46,0,14.46,32,0,1.0,20
33,4,0,4,14.77,0,14.77,33,0,1.0,20
34,7,0,2,19.8,0,19.8,34,0,1.0,20
35,1,0,3,7.99,0,7.99,35,0,1.0,20
36,8,0,1,21.8,0,21.8,36,0,0,20
37,4,0,5,15.96,0,15.96,37,0,1.0,20
38,7,0,3,19.63,0,19.63,38,0,1.0,20
39,1,0,4,6.15,0,6.15,39,0,1.0,20
40,2,0,5,8.91,0,8.91,40,0,1.0,20
