idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,1,8.32,1,0,0,20
2,5,0,1,17.65,2,0,0,20
3,2,0,4,13.6,3,0,0,20
4,2,0,2,8.91,4,0,0,20
5,3,0,3,15.61,5,0,0,20
6,3,0,0,11.03,6,0,0,20
7,1,0,3,14.12,7,0,0,20
8,2,0,0,7.29,8,0,0,20
9,4,0,2,19.13,9,0,0,20
10,1,0,2,6.37,10,0,0,20
11,5,0,2,17.72,11,0,0,20
12,1,0,1,6.28,12,0,0,20
13,4,0,3,20.24,13,0,0,20
14,6,0,0,18.01,14,0,0,20
15,5,0,3,20.07,15,0,0,20
16,3,0,1,11.16,16,0,0,20
17,3,0,2,14.94,17,0,0,20
18,3,0,4,17.1,18,0,0,20
19,6,0,1,23.47,19,0,0,20
20,4,0,1,18.5,20,0,0,20
21,5,0,0,11.39,21,0,0,20
22,1,0,0,5.89,22,0,0,20
23,4,0,4,23.74,23,0,0,20
24,2,0,3,9.67,24,0,0,20
25,4,0,0,18.41,25,0,0,20
