Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 497.919861, -0.020364, 112.649277, -0.033558, -0.001901, -0.015835, 17.080000, 0, 0, 0.000000, 0
2, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.752930, -0.231478, 337.965149, -0.077895, 0.000192, -0.070706, 8.560000, 0, 0, 1.000000, 1
3, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.805725, -0.040702, 112.510155, 0.153227, -0.000033, -0.026121, 9.230000, 0, 0, 0.000000, 0
4, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1493.655396, -1.025148, 789.556396, -0.024993, 0.000178, -0.124201, 15.200000, 0, 0, 1.000000, 1
5, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 497.840149, -0.119771, 338.343445, 0.034076, -0.003994, -0.037890, 17.959999, 0, 0, 0.000000, 0
6, 498.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 496.325317, -0.912644, 1016.244568, 0.113237, -0.004752, -0.083643, 23.969999, 0, 0, 1.000000, 1
7, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 497.513672, -0.307393, 564.131958, 0.105556, -0.005902, -0.058429, 18.959999, 0, 0, 1.000000, 1
8, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.791382, -0.042936, 112.478073, 0.098376, -0.000033, -0.029127, 7.960000, 0, 0, 1.000000, 1
9, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.761841, -0.574072, 563.654785, 0.078719, -0.000072, -0.103370, 11.680000, 0, 0, 1.000000, 1
10, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 496.905609, -0.575105, 790.075684, 0.163269, -0.000078, -0.073803, 21.230000, 0, 0, 1.000000, 1
11, 1494.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1493.650269, -1.535431, 1015.696411, 0.027212, 0.000054, -0.133380, 21.809999, 0, 0, 0.000000, 0
12, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 745.953003, -0.199351, 338.375275, 0.303098, -0.000127, -0.055636, 18.200001, 0, 0, 0.000000, 0
13, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.933228, -0.015964, 113.058189, 0.063862, -0.000020, -0.010024, 13.300000, 0, 0, 0.000000, 0
14, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 744.594910, -0.453623, 564.369141, 0.393344, -0.000219, -0.073265, 18.910000, 0, 0, 0.000000, 0
15, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 742.950195, -0.760738, 790.523010, 0.432277, -0.000260, -0.081761, 23.170000, 0, 0, 0.000000, 0
16, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.653198, -0.062915, 339.259735, 0.062765, 0.000015, -0.012675, 22.610001, 0, 0, 0.000000, 0
17, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 250.215149, -0.066663, 113.493919, -0.602871, 0.008794, -0.003369, 15.350000, 0, 0, 0.000000, 0
18, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 253.908340, -0.007079, 339.480194, -1.103137, -0.036856, 0.008579, 6.950000, 0, 0, 0.000000, 0
19, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 258.107513, 0.129695, 565.341003, -0.995858, -0.037140, 0.060677, 11.690000, 0, 0, 0.000000, 0
20, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.842468, -0.031740, 112.643257, 0.126484, -0.000021, -0.021051, 6.620000, 0, 0, 0.000000, 0
21, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 262.042542, 0.344007, 791.298828, -0.866259, -0.028486, 0.049176, 9.740000, 0, 0, 0.000000, 0
22, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.092407, -0.171007, 338.411255, 0.290045, -0.000113, -0.052692, 7.850000, 0, 0, 0.000000, 0
23, 249.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 265.397125, 0.515182, 1017.425476, -0.863293, -0.020592, 0.031672, 10.360000, 0, 0, 0.000000, 0
24, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 993.787109, -0.414577, 564.457886, 0.374764, -0.000187, -0.070520, 15.510000, 0, 0, 0.000000, 0
25, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 992.226929, -0.707713, 790.622864, 0.408089, -0.000224, -0.077473, 11.330000, 0, 0, 0.000000, 0
