Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.874146, -0.028070, 112.508789, 0.010304, 0.000005, -0.018726, 12.280000, 0, 0, 0.000000, 0
2, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 746.555176, -0.151615, 338.140381, 0.134003, -0.000086, -0.045814, 15.490000, 0, 0, 0.000000, 0
3, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 745.796997, -0.377744, 563.889282, 0.240692, -0.000168, -0.068899, 16.850000, 0, 0, 0.000000, 0
4, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 744.681152, -0.683890, 789.836487, 0.327277, -0.000241, -0.085663, 21.299999, 0, 0, 0.000000, 0
5, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.819519, -0.037943, 112.599854, 0.153463, -0.000034, -0.023458, 11.100000, 0, 0, 0.000000, 0
6, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.977661, -0.007020, 113.020309, 0.018412, 0.000000, -0.005817, 23.770000, 0, 0, 1.000000, 1
7, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 994.938171, -0.193966, 338.335693, 0.334474, -0.000147, -0.057451, 13.590000, 0, 0, 0.000000, 0
8, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 993.357971, -0.477083, 564.123169, 0.487309, -0.000317, -0.086255, 13.880000, 0, 0, 0.000000, 0
9, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.879028, -0.026606, 112.639290, 0.063777, 0.000011, -0.016838, 10.870000, 0, 0, 0.000000, 0
10, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 743.541748, -1.060666, 1015.982361, 0.307749, -0.000315, -0.104728, 23.500000, 0, 0, 0.000000, 0
11, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.855347, -0.044296, 339.134033, 0.055415, -0.000008, -0.014631, 17.129999, 0, 0, 1.000000, 1
12, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 991.220215, -0.861421, 790.035034, 0.597755, -0.000483, -0.107857, 15.990000, 0, 0, 0.000000, 0
13, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.394897, -0.141271, 338.391571, 0.197658, -0.000065, -0.043072, 12.820000, 0, 0, 0.000000, 0
14, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1243.403564, -0.356550, 564.214050, 0.318245, -0.000184, -0.066674, 12.940000, 0, 0, 0.000000, 0
15, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 498.012878, -0.017386, 112.668594, -0.238909, 0.013718, -0.009585, 9.610000, 0, 0, 0.000000, 0
16, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 988.749390, -1.308557, 1016.166931, 0.647248, -0.000566, -0.118229, 23.860001, 0, 0, 0.000000, 0
17, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1241.972290, -0.657062, 790.161377, 0.414577, -0.000320, -0.085205, 14.060000, 0, 0, 0.000000, 0
18, 1245.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1240.237793, -1.012693, 1016.304504, 0.460968, -0.000393, -0.094416, 18.330000, 0, 0, 0.000000, 0
19, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 498.824768, -0.074104, 338.275818, -0.197771, 0.012873, -0.021332, 10.330000, 0, 0, 0.000000, 0
20, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.571655, -0.121562, 565.258362, 0.096955, -0.000025, -0.024185, 10.300000, 0, 0, 1.000000, 1
21, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 500.122803, -0.107568, 564.219055, -0.296531, 0.012612, 0.001529, 12.370000, 0, 0, 0.000000, 0
22, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1493.136963, -0.228428, 791.441589, 0.116316, -0.000041, -0.028520, 8.200000, 0, 0, 1.000000, 1
23, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 501.334015, -0.080960, 790.361084, -0.339974, 0.012951, 0.012268, 22.650000, 0, 0, 0.000000, 0
24, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 254.929031, -0.080688, 117.659378, -2.582928, 0.009974, -0.004372, 5.390000, 0, 0, 0.000000, 0
25, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 265.205933, -0.129710, 343.561951, -2.598482, 0.013999, -0.023549, 5.870000, 0, 0, 0.000000, 0
