Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 497.771179, -0.035497, 112.318314, -0.189732, 0.019549, -0.021787, 7.050000, 0, 0, 0.000000, 0
2, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 498.277130, -0.124252, 337.909393, -0.103544, 0.002745, -0.041072, 12.160000, 0, 0, 1.000000, 1
3, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.793884, -0.043688, 112.471504, 0.162137, -0.000031, -0.026920, 9.030000, 0, 0, 1.000000, 1
4, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 745.848022, -0.218324, 338.172455, 0.351918, -0.000168, -0.063149, 13.270000, 0, 0, 1.000000, 1
5, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.902588, -0.020661, 112.836479, 0.081787, 0.000000, -0.014064, 18.110001, 0, 0, 0.000000, 0
6, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 744.198669, -0.523098, 563.947327, 0.501087, -0.000355, -0.091379, 13.580000, 0, 0, 1.000000, 1
7, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.966187, -0.012811, 112.959206, 0.036889, -0.000001, -0.010399, 19.750000, 0, 0, 0.000000, 0
8, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.422974, -0.113230, 338.778412, 0.190449, -0.000039, -0.035062, 18.670000, 0, 0, 0.000000, 0
9, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1243.540771, -0.281696, 564.836426, 0.265096, -0.000086, -0.050218, 22.430000, 0, 0, 1.000000, 1
10, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 251.579605, -0.102341, 114.420097, -1.166768, 0.016547, -0.008483, 8.600000, 0, 0, 1.000000, 1
11, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1242.416138, -0.494872, 791.006042, 0.295559, -0.000102, -0.057060, 21.270000, 0, 0, 1.000000, 1
12, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 256.747040, -0.011441, 340.343903, -1.346574, -0.007993, 0.022378, 8.150000, 0, 0, 1.000000, 1
13, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 498.444672, -0.333657, 563.630798, -0.084180, 0.012241, -0.058568, 11.070000, 0, 0, 1.000000, 1
14, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 742.008301, -0.926911, 789.852600, 0.610639, -0.000535, -0.112616, 15.600000, 0, 0, 1.000000, 1
15, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.752441, -0.074179, 339.070160, 0.088605, -0.000028, -0.021114, 22.549999, 0, 0, 1.000000, 1
16, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 262.217346, 0.164785, 566.152222, -1.283148, 0.003328, 0.068374, 7.080000, 0, 0, 1.000000, 1
17, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 739.486633, -1.392794, 1015.982178, 0.661625, -0.000633, -0.123014, 23.100000, 0, 0, 1.000000, 1
18, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.925964, -0.016497, 112.882004, 0.061654, -0.000002, -0.012039, 18.200001, 0, 0, 1.000000, 1
19, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 498.670532, -0.598653, 789.552856, -0.021788, 0.009699, -0.070255, 13.550000, 0, 0, 1.000000, 1
20, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 267.183807, 0.394248, 792.216003, -1.296337, 0.010991, 0.043052, 12.600000, 0, 0, 1.000000, 1
21, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.558289, -0.093857, 338.879578, 0.149094, -0.000029, -0.029546, 18.730000, 0, 0, 1.000000, 1
22, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 994.854797, -0.238007, 564.947937, 0.217825, -0.000065, -0.043553, 18.000000, 0, 0, 1.000000, 1
23, 498.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 498.685486, -0.876088, 1015.684998, 0.059543, 0.011661, -0.076204, 14.980000, 0, 0, 1.000000, 1
24, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.354492, -0.167917, 565.255554, 0.105855, -0.000043, -0.025322, 22.139999, 0, 0, 1.000000, 1
25, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 993.920898, -0.424506, 791.120117, 0.246253, -0.000088, -0.049988, 17.580000, 0, 0, 1.000000, 1
