idx,seq,group,emerg,weight,size(ft)
1,1,0,0,8.69,20
2,2,0,0,14.9,20
3,3,0,0,5.94,20
4,4,0,0,18.83,20
5,5,0,0,23.16,20
6,6,0,0,13.78,20
7,7,0,0,15.98,20
8,8,0,0,17.86,20
9,9,0,0,11.33,20
10,10,0,0,23.48,20
11,11,0,0,10.44,20
12,12,0,0,10.94,20
13,13,0,0,22.7,20
14,14,0,0,6.82,20
15,15,0,0,11.37,20
16,16,0,0,17.16,20
17,17,0,0,14.08,20
18,18,0,0,10.25,20
19,19,0,0,14.66,20
20,20,0,0,21.54,20
21,21,0,0,9.74,20
22,22,0,0,6.65,20
23,23,0,0,21.98,20
24,24,0,0,18.18,20
25,25,0,0,6.99,20
26,26,0,0,13.22,20
27,27,0,0,6.47,20
28,28,0,0,9.65,20
29,29,0,0,22.14,20
30,30,0,0,18.21,20
