idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,5,0,0,20.05,0,20.05,1,0,0,20
2,9,0,0,5.52,0,5.52,2,0,0,20
3,10,0,0,8.15,0,8.15,3,0,0,20
4,9,0,1,16.82,0,16.82,4,0,0,20
5,8,0,0,5.72,0,5.72,5,0,0,20
6,7,0,0,6.26,0,6.26,6,0,0,20
7,7,0,1,14.0,0,14.0,7,0,0,20
8,6,0,0,18.88,0,18.88,8,0,0,20
9,2,0,0,6.66,0,6.66,9,0,0,20
10,6,0,1,22.37,0,22.37,10,0,0,20
11,10,0,1,13.07,0,13.07,11,0,0,20
12,3,0,0,5.19,0,5.19,12,0,0,20
13,10,0,2,13.41,0,13.41,13,0,0,20
14,3,0,1,6.77,0,6.77,14,0,0,20
15,5,0,1,20.43,0,20.43,15,0,0,20
16,7,0,2,14.93,0,14.93,16,0,0,20
17,10,0,3,18.33,0,18.33,17,0,0,20
18,8,0,1,11.36,0,11.36,18,0,0,20
19,1,0,0,8.0,0,8.0,19,0,0,20
20,4,0,0,7.18,0,7.18,20,0,0,20
21,8,0,2,18.92,0,18.92,21,0,0,20
22,9,0,2,16.87,0,16.87,22,0,0,20
23,5,0,2,22.0,0,22.0,23,0,0,20
24,1,0,1,13.36,0,13.36,24,0,0,20
25,1,0,2,17.62,0,17.62,25,0,0,20
26,2,0,1,8.32,0,8.32,26,0,0,20
27,2,0,2,10.34,0,10.34,27,0,0,20
28,1,0,3,19.21,0,19.21,28,0,0,20
29,8,0,3,21.98,0,21.98,29,0,0,20
30,3,0,2,7.56,0,7.56,30,0,0,20
