idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,5,0,0,8.42,0,8.42,0,0,0,20
2,1,0,0,21.52,0,21.52,0,0,0,20
3,2,0,0,8.96,0,8.96,0,0,0,20
4,7,0,0,9.09,0,9.09,0,0,0,20
5,10,0,0,9.2,0,9.2,0,0,0,20
6,2,0,1,15.69,0,15.69,1,0,0,20
7,2,0,2,19.42,0,19.42,2,0,0,20
8,5,0,1,23.1,0,23.1,3,0,0,20
9,4,0,0,15.54,0,15.54,4,0,1.0,20
10,3,0,0,7.08,0,7.08,5,0,0,20
11,3,0,1,8.16,0,8.16,6,0,0,20
12,6,0,0,23.85,0,23.85,7,0,0,20
13,3,0,2,18.8,0,18.8,8,0,0,20
14,3,0,3,20.49,0,20.49,9,0,0,20
15,4,0,1,6.35,0,6.35,10,0,1.0,20
