idx,seq,group,emerg,weight,size(ft)
1,1,0,0,7.54,20
2,2,0,0,17.24,20
3,3,0,0,5.53,20
4,4,0,0,21.79,20
5,5,0,0,11.31,20
6,6,0,0,23.57,20
7,7,0,0,5.69,20
8,8,0,0,16.84,20
9,9,0,0,20.28,20
10,10,0,0,17.29,20
11,11,0,0,21.93,20
12,12,0,0,19.17,20
13,13,0,0,17.42,20
14,14,0,0,21.64,20
15,15,0,0,11.34,20
16,16,0,0,7.87,20
17,17,0,0,23.97,20
18,18,0,0,19.81,20
19,19,0,0,7.88,20
20,20,0,0,17.63,20
21,21,0,0,13.8,20
22,22,0,0,18.76,20
23,23,0,0,6.81,20
24,24,0,0,15.89,20
25,25,0,0,11.39,20
26,26,0,0,18.01,20
27,27,0,0,7.06,20
