idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,22.96,0,0,1.0,20
2,3,0,1,12.94,0,0,1.0,20
3,5,0,0,12.02,0,0,0,20
4,6,0,0,19.57,0,0,0,20
5,2,0,0,12.56,0,0,1.0,20
6,1,0,0,16.81,0,0,1.0,20
7,4,0,0,22.22,0,0,1.0,20
8,2,0,1,19.42,1,0,1.0,20
9,2,0,2,13.91,2,0,1.0,20
10,6,0,1,23.55,3,0,0,20
11,3,0,2,22.98,4,0,1.0,20
12,1,0,1,9.39,5,0,1.0,20
13,5,0,1,20.68,6,0,0,20
14,4,0,1,21.01,7,0,1.0,20
15,3,0,3,21.84,8,0,1.0,20
16,2,0,3,19.06,9,0,1.0,20
17,4,0,2,15.26,10,0,1.0,20
18,2,0,4,13.86,11,0,1.0,20
19,1,0,2,9.3,12,0,1.0,20
20,1,0,3,11.93,13,0,1.0,20
